"","A","B","C","D","Total discounted cost","Cumulative cost"
"0",5034,0,0,0,5034,5034
"1",3631.79584775087,1075.83621683968,754.936562860439,0,5153.36662967074,10187.3666296707
"2",2620.17105278912,1401.3136470722,2038.02604809555,0,5392.94299390964,15580.3096235804
"3",1890.33101905374,1374.24405455752,3129.28448777255,0,5368.4077807383,20948.7174043187
"4",1363.78552758722,1202.53740208213,3815.10571606642,0,5054.68919269288,26003.4065970116
"5",983.907551909808,990.23177785768,4102.64273388246,0,4540.92506178829,30544.3316587998
"6",709.843337623513,785.679758984205,4078.42028446321,0,3929.41013829992,34473.7417970998
"7",512.118809323538,608.247094448751,3842.8836992407,0,3300.84445516703,37774.5862522668
"8",369.469798421999,462.88783240398,3483.64893715149,0,2707.91591554164,40482.5021678084
"9",266.55520059165,347.936226230478,3067.52053402254,0,2179.37722232314,42661.8793901316
"10",192.307125686363,259.145733491925,2640.8753741921,0,1726.73993402118,44388.6193241527
"11",138.740607977878,191.683405773951,2233.18361629056,0,1350.47651950511,45739.0958436578
"12",100.094867693383,141.034409315315,1861.18998175811,0,1044.78826406501,46783.8841077229
"13",72.2137713289629,103.344100412468,1532.70097504661,0,800.898407465127,47584.782515188
"14",52.0988627061895,75.4843946681598,1249.62770079486,0,609.141734952495,48193.9242501405
"15",37.5868957586177,54.9968093906422,1010.2585721968,0,460.177549838525,48654.101799979
"16",27.1171895005944,39.9904508551549,810.866726301899,0,345.61134662986,48999.7131466089
"17",19.5637855047541,29.033017134078,646.793020139728,0,258.243037234401,49257.9561838433
"18",14.1143573624264,21.0515916087621,513.139337185636,0,192.095352648365,49450.0515364916
"19",10.182849515799,15.2491172139764,405.18501893772,0,142.324516305076,49592.3760527967
"20",7.34645025620793,11.0371908979786,318.614171384949,0,105.077510899973,49697.4535636967
